Order,Superfamily,Species,character_data,Genus
Primates,Hominoidea,Pan_paniscus,G,Pan
Primates,Hominoidea,Pan_troglodytes,G,Pan
Primates,Cercopithecoidea,Papio_anubis,G,Papio
Primates,Cercopithecoidea,Papio_cynocephalus,G,Papio
Primates,Cercopithecoidea,Papio_hamadryas,G,Papio
Primates,Cercopithecoidea,Papio_papio,G,Papio
Primates,Cercopithecoidea,Papio_ursinus,G,Papio
Primates,Lorisoidea,Perodicticus_potto,S,Perodicticus
Primates,Lemuroidea,Phaner_furcifer,P,Phaner
Primates,Cercopithecoidea,Procolobus_badius,G,Procolobus
Primates,Cercopithecoidea,Procolobus_kirkii,G,Procolobus
Primates,Cercopithecoidea,Procolobus_rufomitratus,G,Procolobus
Primates,Ceboidea,Pithecia_aequatorialis,P,Pithecia
Primates,Ceboidea,Pithecia_chrysocephala,G,Pithecia
Primates,Ceboidea,Pithecia_irrorata,G,Pithecia
Primates,Ceboidea,Pithecia_pithecia,P,Pithecia
Primates,Ceboidea,Callicebus_discolor,P,Callicebus
Primates,Ceboidea,Callicebus_oenanthe,P,Callicebus
Primates,Hominoidea,Pongo_pygmaeus,S,Pongo
Primates,Cercopithecoidea,Presbytis_comata,P,Presbytis
Primates,Cercopithecoidea,Presbytis_frontata,P,Presbytis
Primates,Cercopithecoidea,Presbytis_hosei,P,Presbytis
Primates,Cercopithecoidea,Presbytis_melalophos,G,Presbytis
Primates,Cercopithecoidea,Presbytis_natunae,P,Presbytis
Primates,Cercopithecoidea,Presbytis_potenziani,P,Presbytis
Primates,Cercopithecoidea,Presbytis_rubicunda,G,Presbytis
Primates,Cercopithecoidea,Presbytis_thomasi,G,Presbytis
Primates,Cercopithecoidea,Procolobus_verus,G,Procolobus
Primates,Lemuroidea,Prolemur_simus,G,Prolemur
Primates,Lemuroidea,Propithecus_edwardsi,G,Propithecus
Primates,Lemuroidea,Propithecus_perrieri,G,Propithecus
Primates,Lemuroidea,Propithecus_verreauxi,G,Propithecus
Primates,Cercopithecoidea,Pygathrix_nemaeus,G,Pygathrix
Primates,Cercopithecoidea,Pygathrix_nigripes,G,Pygathrix
Primates,Cercopithecoidea,Rhinopithecus_avunculus,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_bieti,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_brelichi,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_roxellana,G,Rhinopithecus
Primates,Cercopithecoidea,Rhinopithecus_strykeri,G,Rhinopithecus
Primates,Cercopithecoidea,Rungwecebus_kipunji,G,Rungwecebus
Primates,Ceboidea,Leontocebus_nigricollis,G,Leontocebus
Primates,Ceboidea,Saguinus_imperator,G,Saguinus
Primates,Ceboidea,Saguinus_labiatus,G,Saguinus
Primates,Ceboidea,Saguinus_mystax,G,Saguinus
Primates,Ceboidea,Leontocebus_nigricollis,P,Leontocebus
Primates,Ceboidea,Saguinus_oedipus,G,Saguinus
Primates,Ceboidea,Saimiri_sciureus,G,Saimiri
Primates,Ceboidea,Sapajus_apella,G,Sapajus
Primates,Ceboidea,Sapajus_cay,G,Sapajus
Primates,Ceboidea,Sapajus_flavius,G,Sapajus
Primates,Ceboidea,Sapajus_libidinosus,G,Sapajus
Primates,Ceboidea,Sapajus_nigritus,G,Sapajus
Primates,Cercopithecoidea,Semnopithecus_ajax,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_entellus,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_hypoleucos,G,Semnopithecus
Primates,Cercopithecoidea,Semnopithecus_schistaceus,G,Semnopithecus
Primates,Cercopithecoidea,Simias_concolor,G,Simias
Primates,Hominoidea,Symphalangus_syndactylus,P,Symphalangus
Primates,Tarsioidea,Tarsius_bancanus,S,Tarsius
Primates,Tarsioidea,Tarsius_lariang,P,Tarsius
Primates,Tarsioidea,Tarsius_pumilus,G,Tarsius
Primates,Tarsioidea,Tarsius_sangirensis,P,Tarsius
Primates,Tarsioidea,Tarsius_syrichta,S,Tarsius
Primates,Tarsioidea,Tarsius_tarsier,P,Tarsius
Primates,Cercopithecoidea,Theropithecus_gelada,G,Theropithecus
Primates,Cercopithecoidea,Trachypithecus_auratus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_cristatus,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_francoisi,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_geei,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_germaini,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_johnii,G,Trachypithecus
Primates,Cercopithecoidea,Trachypithecus_obscurus,G,Trachypithecus
