Order,Superfamily,Species,Kappeler & Pozzi 3 state,Lukas & Clutton-Brock 3 state,Olivier et al 3 state,Shultz et al 3 state,Müller & Thalmann 3 state,Müller & Thalmann 5 state,Additional 3 state,Additional 5 state,Genus
Primates,Lemuroidea,Lepilemur_otto,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_petteri,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_randrianasoloi,S,NA,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_sahamalazensis,S,NA,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_seali,S,NA,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_septentrionalis,S,S,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_tymerlachsoni,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_wrighti,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lorisoidea,Arctocebus_aureus,S,S,NA,NA,NA,NA,NA,NA,Arctocebus
Primates,Lorisoidea,Arctocebus_calabarensis,S,S,NA,S,NA,NA,NA,NA,Arctocebus
Primates,Lorisoidea,Loris_tardigradus,S,S,NA,"S, P",G,D-G,NA,NA,Loris
Primates,Lorisoidea,Nycticebus_bengalensis,S,S,NA,NA,NA,NA,NA,NA,Nycticebus
Primates,Lorisoidea,Nycticebus_javanicus,S,NA,NA,NA,NA,NA,NA,NA,Nycticebus
Primates,Lorisoidea,Nycticebus_menagensis,S,NA,NA,NA,NA,NA,NA,NA,Nycticebus
Primates,Lorisoidea,Nycticebus_pygmaeus,S,S,NA,S,NA,NA,NA,NA,Nycticebus
Primates,Lorisoidea,Phaner_electromontis,NA,S,NA,NA,NA,NA,NA,NA,Phaner
Primates,Tarsioidea,Tarsius_dentatus,"P, G",S,NA,NA,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_pelengensis,NA,S,NA,NA,NA,NA,NA,NA,Tarsius
Primates,Tarsioidea,Tarsius_wallacei,"P, G",NA,NA,NA,NA,NA,NA,NA,Tarsius
Dermoptera,NA,Galeopterus_variegatus,NA,NA,NA,NA,NA,NA,NA,NA,Galeopterus
Lagomorpha,NA,Oryctolagus_cuniculus,NA,S,NA,NA,NA,NA,G,G,Oryctolagus
Rodentia,NA,Mus_musculus,NA,NA,NA,NA,NA,NA,G,G,Mus
Rodentia,NA,Mus_triton,NA,S,NA,NA,NA,NA,NA,NA,Mus
Scandentia,NA,Tupaia_belangeri,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_chrysogaster,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_dorsalis,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_glis,NA,S,NA,NA,"P, G","D-P, D-G",NA,NA,Tupaia
Scandentia,NA,Tupaia_gracilis,NA,S,NA,NA,NA,NA,D-P,P,Tupaia
Scandentia,NA,Tupaia_javanica,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_longipes,NA,S,NA,NA,NA,NA,D-P,P,Tupaia
Scandentia,NA,Tupaia_minor,NA,S,NA,NA,NA,NA,D-P,P,Tupaia
Scandentia,NA,Tupaia_moellendorffi,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_montana,NA,G,NA,NA,NA,NA,D-P,P,Tupaia
Scandentia,NA,Tupaia_nicobarica,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_palawanensis,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_picta,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_splendidula,NA,S,NA,NA,NA,NA,NA,NA,Tupaia
Scandentia,NA,Tupaia_tana,NA,S,NA,NA,NA,NA,D-P,P,Tupaia
