Order,Superfamily,Species,Kappeler & Pozzi 3 state,Lukas & Clutton-Brock 3 state,Olivier et al 3 state,Shultz et al 3 state,Müller & Thalmann 3 state,Müller & Thalmann 5 state,Additional 3 state,Additional 5 state,Genus
Primates,Lemuroidea,Microcebus_berthae,S,S,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_bongolavensis,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_danfossi,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_gerpi,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_griseorufus,S,S,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_jollyae,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_lehilahytsara,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_macarthurii,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_mamiratra,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_margotmarshae,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_mittermeieri,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_myoxinus,S,S,NA,S,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_rufus,S,S,NA,S,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_sambiranensis,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_simmonsi,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Microcebus_tavaratra,S,NA,NA,NA,NA,NA,NA,NA,Microcebus
Primates,Lemuroidea,Mirza_zaza,S,NA,NA,NA,NA,NA,NA,NA,Mirza
Primates,Lemuroidea,Phaner_pallescens,P,S,NA,NA,NA,NA,NA,NA,Phaner
Primates,Lemuroidea,Phaner_parienti,NA,S,NA,NA,NA,NA,NA,NA,Phaner
Primates,Lorisoidea,Euoticus_elegantulus,S,S,NA,"S, G",NA,NA,NA,NA,Euoticus
Primates,Lorisoidea,Euoticus_pallidus,NA,S,NA,NA,NA,NA,NA,NA,Euoticus
Primates,Lorisoidea,Galago_alleni,S,S,NA,"S, G",G,D-G,NA,NA,Galago
Primates,Lorisoidea,Galago_cameronensis,NA,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galagoides_demidoff,S,S,NA,"S, P, G",G,D-G,NA,NA,Galagoides
Primates,Lorisoidea,Galago_gabonensis,S,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_gallarum,S,S,NA,S,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_granti,S,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_matschiei,S,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_moholi,S,S,NA,"S, G",G,D-G,NA,NA,Galago
Primates,Lorisoidea,Galago_nyasae,NA,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_orinus,S,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_rondoensis,NA,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_senegalensis,S,S,NA,"S, G",NA,NA,NA,NA,Galago
Primates,Lorisoidea,Galago_thomasi,S,S,NA,NA,NA,NA,NA,NA,Galago
Primates,Lorisoidea,Otolemur_monteiri,S,S,NA,NA,NA,NA,NA,NA,Otolemur
Primates,Lemuroidea,Avahi_betsilio,P,NA,NA,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_cleesei,P,NA,NA,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_peyrierasi,P,NA,NA,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_ramanantsoavani,P,NA,NA,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Avahi_unicolor,P,P,NA,NA,NA,NA,NA,NA,Avahi
Primates,Lemuroidea,Cheirogaleus_adipicaudatus,NA,P,NA,NA,NA,NA,NA,NA,Cheirogaleus
Primates,Lemuroidea,Lepilemur_aeeclis,S,NA,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_ahmansoni,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_ankaranensis,S,S,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_betsileo,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_dorsalis,S,S,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_fleuretae,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_grewcockorum,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_hubbardorum,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_jamesorum,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_microdon,S,S,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_milanoii,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_mitsinjoensis,NA,NA,NA,S,NA,NA,NA,NA,Lepilemur
Primates,Lemuroidea,Lepilemur_mittermeieri,S,NA,NA,NA,NA,NA,NA,NA,Lepilemur
