Order,Superfamily,Species,character_data
Primates,Cercopithecoidea,Presbytis_rubicunda,G
Primates,Cercopithecoidea,Presbytis_thomasi,G
Primates,Cercopithecoidea,Procolobus_verus,G
Primates,Lemuroidea,Prolemur_simus,G
Primates,Lemuroidea,Propithecus_edwardsi,G
Primates,Lemuroidea,Propithecus_perrieri,G
Primates,Lemuroidea,Propithecus_verreauxi,G
Primates,Cercopithecoidea,Pygathrix_nemaeus,G
Primates,Cercopithecoidea,Pygathrix_nigripes,G
Primates,Cercopithecoidea,Rhinopithecus_avunculus,G
Primates,Cercopithecoidea,Rhinopithecus_bieti,G
Primates,Cercopithecoidea,Rhinopithecus_brelichi,G
Primates,Cercopithecoidea,Rhinopithecus_roxellana,G
Primates,Cercopithecoidea,Rhinopithecus_strykeri,G
Primates,Cercopithecoidea,Rungwecebus_kipunji,G
Primates,Ceboidea,Leontocebus_nigricollis,G
Primates,Ceboidea,Saguinus_imperator,G
Primates,Ceboidea,Saguinus_labiatus,G
Primates,Ceboidea,Saguinus_mystax,G
Primates,Ceboidea,Leontocebus_nigricollis,P
Primates,Ceboidea,Saguinus_oedipus,G
Primates,Ceboidea,Saimiri_sciureus,G
Primates,Ceboidea,Sapajus_apella,G
Primates,Ceboidea,Sapajus_cay,G
Primates,Ceboidea,Sapajus_flavius,G
Primates,Ceboidea,Sapajus_libidinosus,G
Primates,Ceboidea,Sapajus_nigritus,G
Primates,Cercopithecoidea,Semnopithecus_ajax,G
Primates,Cercopithecoidea,Semnopithecus_entellus,G
Primates,Cercopithecoidea,Semnopithecus_hypoleucos,G
Primates,Cercopithecoidea,Semnopithecus_schistaceus,G
Primates,Cercopithecoidea,Simias_concolor,G
Primates,Hominoidea,Symphalangus_syndactylus,P
Primates,Tarsioidea,Tarsius_bancanus,S
Primates,Tarsioidea,Tarsius_lariang,P
Primates,Tarsioidea,Tarsius_pumilus,G
Primates,Tarsioidea,Tarsius_sangirensis,P
Primates,Tarsioidea,Tarsius_syrichta,S
Primates,Tarsioidea,Tarsius_tarsier,P
Primates,Cercopithecoidea,Theropithecus_gelada,G
Primates,Cercopithecoidea,Trachypithecus_auratus,G
Primates,Cercopithecoidea,Trachypithecus_cristatus,G
Primates,Cercopithecoidea,Trachypithecus_francoisi,G
Primates,Cercopithecoidea,Trachypithecus_geei,G
Primates,Cercopithecoidea,Trachypithecus_germaini,G
Primates,Cercopithecoidea,Trachypithecus_johnii,G
Primates,Cercopithecoidea,Trachypithecus_obscurus,G
Primates,Cercopithecoidea,Trachypithecus_phayrei,G
Primates,Cercopithecoidea,Trachypithecus_pileatus,G
Primates,Cercopithecoidea,Trachypithecus_poliocephalus,G
Primates,Cercopithecoidea,Trachypithecus_shortridgei,G
Primates,Cercopithecoidea,Trachypithecus_vetulus,G
Primates,Lemuroidea,Varecia_variegata,G
