dataset,phylo,name,value,outgroup,prop,ypos
"Olivier et al (2024)
3 state","Kuderna et al (2023)
+ outgroup",G,0.4621321038535991,outgroup,0.4621321038535991,0.7689339480732007
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ outgroup",S,0.05384121831512992,outgroup,0.05384121831512992,0.02692060915756496
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ outgroup",P,0.28771313843140484,outgroup,0.28771313843140484,0.19769778753083236
"Shultz et al (2011)
3 state (large)","Kuderna et al (2023)
+ outgroup",G,0.6584456432534652,outgroup,0.6584456432534652,0.6707771783732674
"Shultz et al (2011)
3 state","Kuderna et al (2023)
+ outgroup",P,0.5555355741831455,outgroup,0.5555355741831455,0.27776778709157274
"Shultz et al (2011)
3 state","Kuderna et al (2023)
+ outgroup",G,0.4444644258168546,outgroup,0.4444644258168546,0.7777677870915727
"Kappeler & Pozzi (2019)
3 state","Olivier et al (2024)
+ no outgroup",S,0.7074998229751148,no outgroup,0.7074998229751148,0.3537499114875574
"Kappeler & Pozzi (2019)
3 state","Olivier et al (2024)
+ no outgroup",P,0.25719281111925785,no outgroup,0.25719281111925785,0.8360962285347437
"Kappeler & Pozzi (2019)
3 state","Olivier et al (2024)
+ no outgroup",G,0.03530736590562737,no outgroup,0.03530736590562737,0.9823463170471863
"Kappeler & Pozzi (2019)
3 state (large)","Olivier et al (2024)
+ no outgroup",S,0.6203630486254391,no outgroup,0.6203630486254391,0.31018152431271956
"Kappeler & Pozzi (2019)
3 state (large)","Olivier et al (2024)
+ no outgroup",P,0.31872386332605396,no outgroup,0.31872386332605396,0.779724980288466
"Kappeler & Pozzi (2019)
3 state (large)","Olivier et al (2024)
+ no outgroup",G,0.06091308804850693,no outgroup,0.06091308804850693,0.9695434559757465
"Lukas & Clutton-Brock (2013)
3 state","Olivier et al (2024)
+ no outgroup",S,0.953009269725688,no outgroup,0.953009269725688,0.476504634862844
"Lukas & Clutton-Brock (2013)
3 state","Olivier et al (2024)
+ no outgroup",P,0.04103847462121758,no outgroup,0.04103847462121758,0.9735285070362968
"Lukas & Clutton-Brock (2013)
3 state","Olivier et al (2024)
+ no outgroup",G,0.00595225565309435,no outgroup,0.00595225565309435,0.9970238721734527
"Müller & Thalmann (2000)
3 state","Olivier et al (2024)
+ no outgroup",S,3.4889164488097237e-7,no outgroup,3.4889164488097237e-7,1.7444582244048619e-7
"Müller & Thalmann (2000)
3 state","Olivier et al (2024)
+ no outgroup",P,0.3690331459147879,no outgroup,0.3690331459147879,0.18451692184903887
"Müller & Thalmann (2000)
3 state","Olivier et al (2024)
+ no outgroup",G,0.6309665051935672,no outgroup,0.6309665051935672,0.6845167474032163
"Müller & Thalmann (2000)
3 state (large)","Olivier et al (2024)
+ no outgroup",S,3.4889164488097237e-7,no outgroup,3.4889164488097237e-7,1.7444582244048619e-7
"Müller & Thalmann (2000)
3 state (large)","Olivier et al (2024)
+ no outgroup",P,0.3690331459147879,no outgroup,0.3690331459147879,0.18451692184903887
"Müller & Thalmann (2000)
3 state (large)","Olivier et al (2024)
+ no outgroup",G,0.6309665051935672,no outgroup,0.6309665051935672,0.6845167474032163
"Müller & Thalmann (2000)
5 state","Olivier et al (2024)
+ no outgroup",P,0.3397295506962154,no outgroup,0.3397295506962154,0.1698647753481077
"Müller & Thalmann (2000)
5 state","Olivier et al (2024)
+ no outgroup",G,0.08651077124963531,no outgroup,0.08651077124963531,0.38298493632103303
"Müller & Thalmann (2000)
5 state","Olivier et al (2024)
+ no outgroup",D-P,0.26945788753719496,no outgroup,0.26945788753719496,0.5609692657144483
"Müller & Thalmann (2000)
5 state","Olivier et al (2024)
+ no outgroup",D-G,0.3043017905169543,no outgroup,0.3043017905169543,0.8478491047415229
"Müller & Thalmann (2000)
5 state (large)","Olivier et al (2024)
+ no outgroup",P,0.3397295506962154,no outgroup,0.3397295506962154,0.1698647753481077
"Müller & Thalmann (2000)
5 state (large)","Olivier et al (2024)
+ no outgroup",G,0.08651077124963531,no outgroup,0.08651077124963531,0.38298493632103303
"Müller & Thalmann (2000)
5 state (large)","Olivier et al (2024)
+ no outgroup",D-P,0.26945788753719496,no outgroup,0.26945788753719496,0.5609692657144483
"Müller & Thalmann (2000)
5 state (large)","Olivier et al (2024)
+ no outgroup",D-G,0.3043017905169543,no outgroup,0.3043017905169543,0.8478491047415229
"Olivier et al (2024)
3 state","Olivier et al (2024)
+ no outgroup",S,0.6117747812351643,no outgroup,0.6117747812351643,0.30588739061758213
"Olivier et al (2024)
3 state","Olivier et al (2024)
+ no outgroup",P,0.3281930734385796,no outgroup,0.3281930734385796,0.7758713179544541
"Olivier et al (2024)
3 state","Olivier et al (2024)
+ no outgroup",G,0.06003214532625619,no outgroup,0.06003214532625619,0.9699839273368719
"Shultz et al (2011)
3 state","Olivier et al (2024)
+ no outgroup",S,0.9989826457373848,no outgroup,0.9989826457373848,0.4994913228686924
"Shultz et al (2011)
3 state","Olivier et al (2024)
+ no outgroup",P,7.350125836595901e-4,no outgroup,7.350125836595901e-4,0.9993501520292146
"Shultz et al (2011)
3 state","Olivier et al (2024)
+ no outgroup",G,2.8234167895554535e-4,no outgroup,2.8234167895554535e-4,0.9998588291605223
"Shultz et al (2011)
3 state (large)","Olivier et al (2024)
+ no outgroup",S,0.518076483431297,no outgroup,0.518076483431297,0.2590382417156485
"Shultz et al (2011)
3 state (large)","Olivier et al (2024)
+ no outgroup",P,0.3438838804036844,no outgroup,0.3438838804036844,0.6900184236331391
"Shultz et al (2011)
3 state (large)","Olivier et al (2024)
+ no outgroup",G,0.13803963616501874,no outgroup,0.13803963616501874,0.9309801819174907
