Genus,Genus_species,Common_name,superfamily,IVSO,main_SO,calculation_main_SO,Main2,foraging_style
Hapalemur,Hapalemur_aureus,Golden Bamboo Lemur,Lemuroidea,none,MF,1,MF,groups
Hapalemur,Hapalemur_griseus,Gray Bamboo Lemur,Lemuroidea,none,MFF,1,MFF,groups
Hapalemur,Hapalemur_meridionalis,Southern Bamboo Lemur,Lemuroidea,wp,FFMM,0.5,FFMM,groups
Hoolock,Hoolock_hoolock,Western Hoolock Gibbon,Hominoidea,wp,MF,0.868852459,MF,groups
Hoolock,Hoolock_leuconedys,Eastern Hoolock Gibbon,Hominoidea,both,MF,0.818181818,MF,groups
Hylobates,Hylobates_agilis,Agile Gibbon,Hominoidea,none,MF,1,MF,groups
Hylobates,Hylobates_albibarbis,Bornean White-Bearded Gibbon,Hominoidea,none,MF,1,MF,groups
Hylobates,Hylobates_muelleri,East Bornean Gray Gibbon,Hominoidea,none,MF,1,MF,groups
Hylobates,Hylobates_klossii,Kloss's Gibbon,Hominoidea,none,MF,1,MF,groups
Hylobates,Hylobates_lar,Lar Gibbon,Hominoidea,both,MF,0.911111111,MF,groups
Hylobates,Hylobates_moloch,Moloch/Silvery Gibbon,Hominoidea,wp,MF,0.8,MF,groups
Hylobates,Hylobates_muelleri,Müller's Gibbon,Hominoidea,none,MF,1,MF,groups
Hylobates,Hylobates_pileatus,Pileated Gibbon,Hominoidea,wp,MF,0.958333333,MF,groups
Indri,Indri_indri,Indri,Lemuroidea,both,MF,0.777777778,MF,groups
Oreonax,Oreonax_flavicauda,Peruvian Yellow-tailed Wooly Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Lagothrix,Lagothrix_lagotricha,Humboldt's Wooly Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Lagothrix,Lagothrix_poeppigii,Silvery Woolly Monkey,Ceboidea,none,FFMM,1,FFMM,groups
Lemur,Lemur_catta,Ring-Tailed Lemur,Lemuroidea,both,FFMM,0.972972973,FFMM,groups
Leontopithecus,Leontopithecus_caissara,Black-Faced Lion Tamarin,Ceboidea,both,MF,0.44444444,MF,groups
Leontopithecus,Leontopithecus_chrysopygus,Black Lion Tamarin,Ceboidea,bp,MF,0.5,FMM,groups
Leontopithecus,Leontopithecus_rosalia,Golden Lion Tamarin,Ceboidea,both,MF,0.514285714,MF,groups
Lepilemur,Lepilemur_edwardsi,Milne-Edwards' Sportive Lemur,Lemuroidea,none,MF,1,MF,solitary
Lepilemur,Lepilemur_leucopus,White-footed Sportive Lemur,Lemuroidea,none,MF,1,MF,solitary
Lepilemur,Lepilemur_mustelinus,Weasel Sportive Lemur,Lemuroidea,wp,solitary,0.8,solitary,solitary
Lepilemur,Lepilemur_ruficaudatus,Red-tailed Sportive Lemur,Lemuroidea,wp,MF,0.888888889,MF,solitary
Lophocebus,Lophocebus_albigena,Grey-cheeked Mangabey,Cercopithecoidea,wp,FFMM,0.75,FFMM,groups
Loris,Loris_lydekkerianus,Slender Loris,Lorisoidea,both,solitary,0.476190476,solitary,solitary_groups
Macaca,Macaca_arctoides,Stump-tailed Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_assamensis,Assam(ese) Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_cyclopis,Taiwanese / Formosan Rock Macaque,Cercopithecoidea,both,FFMM,0.705882353,FFMM,groups
Macaca,Macaca_fascicularis,Long-tailed/Crab-eating Macaque,Cercopithecoidea,both,FFMM,0.915662651,FFMM,groups
Macaca,Macaca_fuscata,Japanese Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_leonina,Northern Pig-tailed Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_maura,Moor Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_mulatta,Rhesus Macaque,Cercopithecoidea,none,FFMM,0.97826087,FFMM,groups
Macaca,Macaca_munzala,Arunachal Macaque,Cercopithecoidea,both,FFMM,0.897435897,FFMM,groups
Macaca,Macaca_nemestrina,Southern/Sunda Pig-tailed Macaque,Cercopithecoidea,both,FFMM,0.666666667,FFMM,groups
Macaca,Macaca_nigra,Crested black Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_radiata,Bonnet Macaque,Cercopithecoidea,both,FFMM,0.942028986,FFMM,groups
Macaca,Macaca_siberu,Siberut Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_silenus,Lion-tailed Macaque / Ouanderou Macaque,Cercopithecoidea,wp,FFMM,0.681818182,FFMM,groups
Macaca,Macaca_sinica,Toque Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_sylvanus,Barbary Macaques,Cercopithecoidea,both,FFMM,0.974193548,FFMM,groups
Macaca,Macaca_thibetana,Tibetan Macaques,Cercopithecoidea,none,FFMM,1,FFMM,groups
Macaca,Macaca_tonkeana,Tonkean Macaque,Cercopithecoidea,none,FFMM,1,FFMM,groups
Mandrillus,Mandrillus_leucophaeus,Drill,Cercopithecoidea,wp,FFMM,0.666666667,FFMM,groups
Mandrillus,Mandrillus_sphinx,Mandrill,Cercopithecoidea,both,FFMM,0.833333333,FFMM,groups
Mico,Mico_argentatus,Silvery Marmoset,Ceboidea,wp,MF,0.666666667,MF,groups
Microcebus,Microcebus_murinus,Gray Mouse Lemur,Lemuroidea,wp,solitary,1,solitary,solitary
Microcebus,Microcebus_ravelobensis,Golden Brown Mouse Lemur,Lemuroidea,wp,solitary,0.538461538,solitary,solitary
Miopithecus,Miopithecus_talapoin,Southern Talapoin Monkey,Cercopithecoidea,wp,FFMM,1,FFMM,groups
Mirza,Mirza_coquereli,Coquerel's Giant Mouse Lemur,Lemuroidea,none,solitary,1,solitary,solitary
Nasalis,Nasalis_larvatus,Proboscis Monkey,Cercopithecoidea,both,MFF,0.884615385,MFF,groups
Nomascus,Nomascus_concolor,Western Black Crested Gibbon,Hominoidea,none,MFF,1,MFF,groups
Nomascus,Nomascus_gabriellae,Southern Yellow-Cheeked Crested Gibbon,Hominoidea,wp,MF,0.789473684,MF,groups
Nomascus,Nomascus_hainanus,Hainan Crested-Gibbon,Hominoidea,wp,MFF,0.777777778,MFF,groups
Nomascus,Nomascus_nasutus,Eastern Black Crested Gibbon/Cao Vit Gibbon,Hominoidea,wp,MFF,0.8,MFF,groups
Nycticebus,Nycticebus_coucang,Sunda Slow Loris,Lorisoidea,wp,solitary,0.555555556,solitary,solitary
Otolemur,Otolemur_crassicaudatus,Brown Greater Galago,Lorisoidea,none,solitary,1,solitary,solitary
Otolemur,Otolemur_garnettii,Northern Greater Galago,Lorisoidea,both,solitary,0.833333333,solitary,solitary_groups
