vertlife species,original names,updated names,present in tree,changed names
Akodon fumeus,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon iniscatus,Cebus_capucinus,Cebus capucinus,TRUE,Cebus_capucinus
Akodon josemariarguedasi,Cebus_kaapori,Cebus kaapori,TRUE,Cebus_kaapori
Akodon juninensis,Cebus_olivaceus,Cebus olivaceus,TRUE,Cebus_olivaceus
Akodon kofordi,Cercocebus_agilis,Cercocebus agilis,TRUE,Cercocebus_agilis
Akodon latebricola,Cercocebus_agilis,Cercocebus agilis,TRUE,Cercocebus_agilis
Akodon leucolimnaeus,Cercocebus_torquatus_atys,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon lindberghi,Cercocebus_galeritus,Cercocebus galeritus,TRUE,Cercocebus_galeritus
Akodon lutescens,Cercocebus_torquatus_atys,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon mimus,Cercocebus_sanjei,Cercocebus sanjei,TRUE,Cercocebus_sanjei
Akodon molinae,Cercocebus_torquatus,Cercocebus torquatus,TRUE,Cercocebus_torquatus
Akodon mollis,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
Akodon montensis,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
Akodon mystax,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
Akodon neocenus,Cercopithecus_ascanius,Cercopithecus ascanius,TRUE,Cercopithecus_ascanius
Akodon oenos,Cercopithecus_campbelli,Cercopithecus campbelli,TRUE,Cercopithecus_campbelli
Akodon orophilus,Cercopithecus_cephus,Cercopithecus cephus,TRUE,Cercopithecus_cephus
Akodon paranaensis,Cercopithecus_pogonias,Cercopithecus pogonias,TRUE,Cercopithecus_pogonias
Akodon pervalens,Cercopithecus_diana,Cercopithecus diana,TRUE,Cercopithecus_diana
Akodon philipmyersi,Cercopithecus_diana,Cercopithecus diana,TRUE,Cercopithecus_diana
Akodon polopi,Cercopithecus_erythrogaster,Cercopithecus erythrogaster,TRUE,Cercopithecus_erythrogaster
Akodon reigi,Cercopithecus_campbelli_lowei,Cercopithecus campbelli,TRUE,Cercopithecus_campbelli
Akodon sanctipaulensis,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon serrensis,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon siberiae,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon simulator,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon spegazzinii,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon subfuscus,Cercopithecus_mitis,Cercopithecus mitis,TRUE,Cercopithecus_mitis
Akodon surdus,Cercopithecus_mona,Cercopithecus mona,TRUE,Cercopithecus_mona
Akodon sylvanus,Cercopithecus_neglectus,Cercopithecus neglectus,TRUE,Cercopithecus_neglectus
Akodon toba,Cercopithecus_neglectus,Cercopithecus neglectus,TRUE,Cercopithecus_neglectus
Akodon torques,Cercopithecus_nictitans,Cercopithecus nictitans,TRUE,Cercopithecus_nictitans
Akodon varius,Cercopithecus_nictitans,Cercopithecus nictitans,TRUE,Cercopithecus_nictitans
Alcelaphus buselaphus,Cercopithecus_petaurista,Cercopithecus petaurista,TRUE,Cercopithecus_petaurista
Alces alces,Cercopithecus_diana,Cercopithecus diana,TRUE,Cercopithecus_diana
Alces americanus,Cheirogaleus_major,Cheirogaleus major,TRUE,Cheirogaleus_major
Alionycteris paucidentata,Cheirogaleus_medius,Cheirogaleus medius,TRUE,Cheirogaleus_medius
Allactaga balikunica,Cheirogaleus_medius,Cheirogaleus medius,TRUE,Cheirogaleus_medius
Allactaga bullata,Callicebus_lugens,Callicebus lugens,TRUE,Callicebus_lugens
Allactaga elater,Callicebus_torquatus,Callicebus torquatus,TRUE,Callicebus_torquatus
Allactaga euphratica,Callicebus_torquatus,Callicebus torquatus,TRUE,Callicebus_torquatus
Allactaga firouzi,Callicebus_torquatus,Callicebus torquatus,TRUE,Callicebus_torquatus
Allactaga hotsoni,Callicebus_torquatus,Callicebus torquatus,TRUE,Callicebus_torquatus
Allactaga major,Chiropotes_satanas,Chiropotes satanas,TRUE,Chiropotes_satanas
Allactaga severtzovi,Chiropotes_satanas,Chiropotes satanas,TRUE,Chiropotes_satanas
