sp.pop,Genus_species,Genus,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_Rowe,mean_Female_Rowe,mean_other_Rowe,sd_Male_Rowe,sd_Female_Rowe,sd_other_Rowe,mean_Fruits_rowe,mean_Seeds_rowe,mean_Leaves_rowe,mean_Flowers_rowe,mean_Animal_rowe,sd_Fruits_rowe,sd_Seeds_rowe,sd_Leaves_rowe,sd_Flowers_rowe,sd_Animals_rowe
sp,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee, ,Forest_Wetland,0,1,closed,2,Diurnal,,, , , ,, ,,,11,,,, , ,,5,11,5,none,FFMM,1,groups,ff,yes,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
pop,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee,"Wamba, Zaire",Forest_Wetland,0,1,closed,2,Diurnal,,, , , , , ,,,5,,,, , ,,,5,1,none,FFMM,1,groups,ff,yes,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
pop,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee,"Yalosidi, Zaire",Forest_Wetland,0,1,closed,2,Diurnal,6,1, , , , , ,,,1,,,, , ,,,1,1,none,FFMM,1,groups,ff,none,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
pop,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee,"Lomako Forest, Congo",Forest_Wetland,0,1,closed,2,Diurnal,1,1, , , , , , ,,3,,,, , ,,,3,1,none,FFMM,1,groups,ff,none,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
pop,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee,"Lui Kotale, Congo",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , , , ,1, , , , , , ,,1,1,none,FFMM,1,groups,ff,none,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
pop,Pan_paniscus,Pan,Bonobo / Gracile(Pygmy) Chimpanzee,"Hali-Hali, Congo",Forest,0,1,closed,1,Diurnal, , , , , , , , , ,1, , , , , , ,,1,1,none,FFMM,1,groups,ff,none,BOTH,40.875,32.3, ,3.119161212,1.01324561, ,68.16666667,9,19.5,3.25, ,17.53406209, ,6.285698052,3.889087297, 
sp,Pan_troglodytes,Pan,Chimpanzee, ,Artificial_Forest_Grassland_Wetland,1,1,both,2,Diurnal, , ,,,,,,,,11,,,,, , ,8,11,11,none,FFMM,1,solitary_groups,ff,yes,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Taï National Park, Ivory Coast",Forest,0,1,closed,1,Diurnal, , ,,,,,,,,2,,,,, , ,,2,2,none,FFMM,1,groups,ff,yes,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Kibale National Park, Uganda",Forest_Wetland,0,1,closed,2,Diurnal, , ,,,,,,,,2,,,,, , ,,2,2,none,FFMM,1,groups,ff,none,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
pop,Pan_troglodytes,Pan,Chimpanzee,"Kahuzi-Biega National Park, Congo",Forest,0,1,closed,1,Diurnal, , ,,,,,,,,1,,,,, , , ,1,1,none,FFMM,1,groups,ff,none,BOTH,48.1975,40.075, ,9.577892513,8.429066773, ,66.11428571,3.55,14.22,3.1,1.8,11.19157847,4.87903679,5.321372004,3.315116891, 
