sp.pop,Genus_species,Common_name,Population,Habitat_type,Habitat_open,Habitat_closed,Habitat_cat,Habitat_heterogenity,Activity_pattern,DisperseM,DisperseF,solitaryM,solitaryF,Solitary,MF,MF_adult_off,MFF,FMM,FFMM,FF,MM,Sex_specific_group,Sex_specific_solitaryM,Sex_specific_solitaryF,Sibling,Nbr_of_studies,Nbr_social_units,Nbr_papers_for_each_field_sites,IVSO,main_SO,calculation_main_SO,foraging_style,level_of_society,Disruption,Locomotion,mean_Male_all,mean_Female_all,mean_other_all,sd_Male_all,sd_Female_all,sd_other_all,mean_Fruits_all,mean_Seeds_all,mean_Leaves_all,mean_Flowers_all,mean_Animal_all,sd_Fruits_all,sd_Seeds_all,sd_Leaves_all,sd_Flowers_all,sd_Animals_all
pop,Trachypithecus_cristatus,Silvered leaf Monkey,"Klang, Malaya",Forest_Wetland,0,1,closed,2,Diurnal, , , , , , , , , ,2, , , , , , , ,2,1,none,FFMM,1,groups,one,none,AR,6.78,5.74,6.25,0.219696761,0.056568542, , , , , , , , , , , 
sp,Trachypithecus_delacouri,Delacour's Langur, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Trachypithecus_francoisi,François' Langur, ,Forest_Rocky,1,1,both,2,Diurnal, , , , , , , ,4, ,3, , , , , , ,6,7, ,both,MFF,0.571428571,groups,ff,yes,BOTH,7.733333333,7.08,7.52,0.700594985,0.345976878, ,19.03333333,14.2,68.5,6.266666667, ,9.188217092, ,17.08771489,1.250333289, 
pop,Trachypithecus_francoisi,François' Langur,"Nonggang Nature Reserve, China",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, ,3, , , , , , , ,5,3,wp,FFMM,0.6,groups,ff,yes,BOTH,7.733333333,7.08,7.52,0.700594985,0.345976878, ,19.03333333,14.2,68.5,6.266666667, ,9.188217092, ,17.08771489,1.250333289, 
pop,Trachypithecus_francoisi,François' Langur,"Fusui Reserve, China",Forest_Rocky,1,1,both,2,Diurnal, , , , , , , ,2, , , , , , , , , ,2,2,none,MFF,1,groups,one,none,BOTH,7.733333333,7.08,7.52,0.700594985,0.345976878, ,19.03333333,14.2,68.5,6.266666667, ,9.188217092, ,17.08771489,1.250333289, 
sp,Trachypithecus_geei,Golden Langur, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,8, ,2, , , , , , ,1,10, ,none,MFF,0.8,groups,one,none,AR,10.8,9.5,10.15, , , ,21, ,44,6, , , , , , 
pop,Trachypithecus_geei,Golden Langur,"Ripu Reserve Forest, Inda",Forest,0,1,closed,1,Diurnal, , , , , , , ,8, ,2, , , , , , , ,10,1,none,MFF,0.8,groups,one,none,AR,10.8,9.5,10.15, , , ,21, ,44,6, , , , , , 
sp,Trachypithecus_germaini,Germain's Langur, ,Forest,0,1,closed,1,Diurnal, , , , , , , ,2, , , , , , , , ,2,2, ,none,MFF,1,groups,one,yes,AR, , ,7.79, , ,1.470782105,18.4, ,77.3,2.4, , , , , , 
pop,Trachypithecus_germaini,Germain's Langur,"Nui To Mountain, Vietnam",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,yes,AR, , ,7.79, , ,1.470782105,18.4, ,77.3,2.4, , , , , , 
pop,Trachypithecus_germaini,Germain's Langur,"Dong Phou Vieng National Protected Area, Lao PDR",Forest,0,1,closed,1,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR, , ,7.79, , ,1.470782105,18.4, ,77.3,2.4, , , , , , 
sp,Trachypithecus_hatinhensis,Hatinh Langur, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Trachypithecus_johnii,Nilgiri Langur, ,Forest,0,1,closed,1,Diurnal,9, , , , , , ,4, ,12, , , , , , ,4,16, ,bp,FFMM,0.75,groups,one,yes,NA, , , , , , , , , , , , , , , , 
pop,Trachypithecus_johnii,Nilgiri Langur,"Parimbukulam Tiger reserve, India",Forest,0,1,closed,1,Diurnal,1, , , , , , ,2, , , , , , , , , ,2,1,none,MFF,1,groups,one,none,NA, , , , , , , , , , , , , , , , 
pop,Trachypithecus_johnii,Nilgiri Langur,"Nelliyampathy Reserve Forest, India",Forest,0,1,closed,1,Diurnal, , , , , , , ,2, , , , , , , , , ,2,2,none,MFF,1,groups,one,yes,NA, , , , , , , , , , , , , , , , 
pop,Trachypithecus_johnii,Nilgiri Langur,"Silent Valley Natonal Park, India",Forest,0,1,closed,1,Diurnal,8, , , , , , , , ,12, , , , , , , ,12,1,none,FFMM,1,groups,one,none,NA, , , , , , , , , , , , , , , , 
sp,Trachypithecus_laotum,Lao Langur / Leaf Monkey, , ,0,0,, ,Diurnal, , , , , , , , , , , , , , , , ,0, , , , , , , ,none, , , , , , , , , , , , , , , , , 
sp,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey, ,Artificial_Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,3, ,1, , , , , , ,3,4, ,both,MFF,0.75,groups,one,none,AR,7.665,6.35,6.99,0.220680765,0.301827765, ,42.65,3,53.1,27.75, ,6.576093065, ,6.929646456,32.88046533, 
pop,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,"Penang, Malaysia",Forest_Grassland,1,1,both,2,Diurnal, , , , , , , ,2, ,1, , , , , , , ,3,2,wp,MFF,0.666666667,groups,one,none,AR,7.665,6.35,6.99,0.220680765,0.301827765, ,42.65,3,53.1,27.75, ,6.576093065, ,6.929646456,32.88046533, 
pop,Trachypithecus_obscurus,Dusky/Spectacled Leaf Monkey,"Bangi Permanent Forest Reserve, Malaysia",Artificial_Forest,0,1,closed,2,Diurnal, , , , , , , ,1, , , , , , , , , ,1,1,none,MFF,1,groups,one,none,AR,7.665,6.35,6.99,0.220680765,0.301827765, ,42.65,3,53.1,27.75, ,6.576093065, ,6.929646456,32.88046533, 
