"","sp.pop","Genus_species","Genus","Common_name","Population","Habitat_type","Habitat_open","Habitat_closed","Habitat_cat","Habitat_heterogenity","Activity_pattern","DisperseM","DisperseF","solitaryM","solitaryF","Solitary","MF","MF_adult_off","MFF","FMM","FFMM","FF","MM","Sex_specific_group","Sex_specific_solitaryM","Sex_specific_solitaryF","Sibling","Nbr_of_studies","Nbr_social_units","Nbr_papers_for_each_field_sites","IVSO","Main1","Main2","calculation_main_SO","foraging_style","level_of_society","Disruption","Locomotion","mean_Male_Rowe","mean_Female_Rowe","mean_other_Rowe","sd_Male_Rowe","sd_Female_Rowe","sd_other_Rowe","mean_Fruits_rowe","mean_Seeds_rowe","mean_Leaves_rowe","mean_Flowers_rowe","mean_Animal_rowe","sd_Fruits_rowe","sd_Seeds_rowe","sd_Leaves_rowe","sd_Flowers_rowe","sd_Animals_rowe","IVSO_prop","IVSOint","superfamily"
"185","sp","Cercocebus_torquatus","Cercocebus","Red capped Mangabey"," ","Shrubland_Grassland_Forest_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,3,NA,"wp","FFMM","FFMM",0.666666667,"groups","ff","none","BOTH",11.775,6.281666667,NA,1.879231226,1.203368882,NA,60,20,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,0,"Cercopithecoidea"
"186","pop","Cercocebus_torquatus","Cercocebus","Red capped Mangabey","Sentier Nature Forest, Gabon","Shrubland_Grassland_Forest_Wetland",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,"wp","FFMM","FFMM",0.666666667,"groups","ff","none","BOTH",11.775,6.281666667,NA,1.879231226,1.203368882,NA,60,20,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333,0,"Cercopithecoidea"
"187","sp","Cercopithecus_ascanius","Cercopithecus","Red-tailed Monkey/Guenon"," ","Grassland_Forest_Woodland",1,1,"both",3,"Diurnal",5,NA,NA,NA,NA,NA,NA,16,NA,1,NA,NA,NA,NA,NA,NA,6,17,NA,"both","MFF","MFF",0.941176471,"groups","one","none","AR",4.37,2.997,3.714,0.223445743,0.268210738,NA,54.8,12.2,12.46666667,6.466666667,25.2,6.655073253,16.68772004,7.457434769,8.261557561,4.250882261,0.058823529,0,"Cercopithecoidea"
"188","pop","Cercopithecus_ascanius","Cercopithecus","Red-tailed Monkey/Guenon","Kibale National Park, Uganda","Grassland_Forest_Woodland",1,1,"both",3,"Diurnal",1,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,2,"none","MFF","MFF",1,"groups","one","none","AR",4.37,2.997,3.714,0.223445743,0.268210738,NA,54.8,12.2,12.46666667,6.466666667,25.2,6.655073253,16.68772004,7.457434769,8.261557561,4.250882261,0,0,"Cercopithecoidea"
"189","pop","Cercopithecus_ascanius","Cercopithecus","Red-tailed Monkey/Guenon","Kibale Forest, Uganda","Forest",0,1,"closed",1,"Diurnal",2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,"none","MFF","MFF",1,"groups","one","none","AR",4.37,2.997,3.714,0.223445743,0.268210738,NA,54.8,12.2,12.46666667,6.466666667,25.2,6.655073253,16.68772004,7.457434769,8.261557561,4.250882261,0,0,"Cercopithecoidea"
"190","pop","Cercopithecus_ascanius","Cercopithecus","Red-tailed Monkey/Guenon","Kakamega Forest, Kenya","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","one","none","AR",4.37,2.997,3.714,0.223445743,0.268210738,NA,54.8,12.2,12.46666667,6.466666667,25.2,6.655073253,16.68772004,7.457434769,8.261557561,4.250882261,0.5,1,"Cercopithecoidea"
"191","pop","Cercopithecus_ascanius","Cercopithecus","Red-tailed Monkey/Guenon","Kasala Forest Reserve, Uganda","Forest",0,1,"closed",1,"Diurnal",2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",4.37,2.997,3.714,0.223445743,0.268210738,NA,54.8,12.2,12.46666667,6.466666667,25.2,6.655073253,16.68772004,7.457434769,8.261557561,4.250882261,0,0,"Cercopithecoidea"
"192","sp","Cercopithecus_campbelli","Cercopithecus","Campbell's Monkey/Guenon"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,4,8,NA,"none","MFF","MFF",1,"groups","one","none","AR",4.05,2.7,3.366666667,0.636396103,NA,0.321455025,37,8,27.5,5,33,12.72792206,NA,27.57716447,5.656854249,NA,0,0,"Cercopithecoidea"
"193","pop","Cercopithecus_campbelli","Cercopithecus","Campbell's Monkey/Guenon","Taï National Park, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,4,"none","MFF","MFF",1,"groups","one","none","AR",4.05,2.7,3.366666667,0.636396103,NA,0.321455025,37,8,27.5,5,33,12.72792206,NA,27.57716447,5.656854249,NA,0,0,"Cercopithecoidea"
"194","sp","Cercopithecus_cephus","Cercopithecus","Moustached Monkey/Guenon"," ","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"wp","MF","MFF",0.5,"groups","one","none","AR",4.245,2.895,3.48,0.219203102,0.082259751,NA,77,6.9,15.5,6.9,12.95,4.242640687,NA,NA,NA,8.555992052,0.5,1,"Cercopithecoidea"
"195","pop","Cercopithecus_cephus","Cercopithecus","Moustached Monkey/Guenon","M'passa, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MF","MFF",0.5,"groups","one","none","AR",4.245,2.895,3.48,0.219203102,0.082259751,NA,77,6.9,15.5,6.9,12.95,4.242640687,NA,NA,NA,8.555992052,0.5,1,"Cercopithecoidea"
"196","sp","Cercopithecus_pogonias","Cercopithecus","Crowned Monkey"," ","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MFF","MFF",1,"groups"," ","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"197","pop","Cercopithecus_pogonias","Cercopithecus","Crowned Monkey","M'passa, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"198","sp","Cercopithecus_diana","Cercopithecus","Diana Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,8,16,NA,"none","MFF","MFF",1,"groups","one","none","AR",5.1,2.26,NA,0.141421356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"199","pop","Cercopithecus_diana","Cercopithecus","Diana Monkey","Taï National Park, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,7,"none","MFF","MFF",1,"groups","one","none","AR",5.1,2.26,NA,0.141421356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"200","pop","Cercopithecus_diana","Cercopithecus","Diana Monkey","Tiwai, Sierra Leone","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MFF","MFF",1,"groups","one","none","AR",5.1,2.26,NA,0.141421356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"202","sp","Cercopithecus_erythrogaster","Cercopithecus","White-throated Monkey"," ","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MFF","MFF",1,"groups"," ","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"203","pop","Cercopithecus_erythrogaster","Cercopithecus","White-throated Monkey","Okomu Forest Reserve, Nigeria","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"206","sp","Cercopithecus_campbelli","Cercopithecus","Lowe's Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,"none","MFF","MFF",1,"groups","ff","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"207","pop","Cercopithecus_campbelli","Cercopithecus","Lowe's Monkey","Adiopodoumé, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","ff","yes","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"208","sp","Cercopithecus_mitis","Cercopithecus","Blue Monkey"," ","Forest_Grassland_Woodland",1,1,"both",2,"Diurnal",18,NA,NA,NA,NA,NA,NA,26,NA,4,1,NA,NA,NA,NA,NA,11,30,NA,"both","MFF","MFF",0.866666667,"groups","ff","yes","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0.133333333,3,"Cercopithecoidea"
"209","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Kakamega Forest, Kenya","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,6,3,"wp","MFF","MFF",0.833333333,"groups","ff","yes","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0.166666667,1,"Cercopithecoidea"
"210","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Gede Ruins National Monument, Kenya","Woodland",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0,0,"Cercopithecoidea"
"211","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Mount Kilum, Cameroun","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,1,"wp","MFF","FFMM",0.5,"groups","ff","none","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0.5,1,"Cercopithecoidea"
"212","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Kibale National Park, Uganda","Forest_Grassland",1,1,"both",2,"Diurnal",16,NA,NA,NA,NA,NA,NA,15,NA,1,1,NA,NA,NA,NA,NA,NA,16,4,"wp","MFF","MFF",0.9375,"groups","ff","yes","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0.0625,1,"Cercopithecoidea"
"213","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Ngoye Forest, South Africa","Forest_Grassland",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,2,"wp","MFF","MFF",0.75,"groups"," ","none","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0.25,1,"Cercopithecoidea"
"214","pop","Cercopithecus_mitis","Cercopithecus","Blue Monkey","Virunga Volcano, Rwanda","Forest",0,1,"closed",1,"Diurnal",1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.4665,3.926014286,NA,1.45051511,0.632213625,NA,51.565,2.4,19.025,9.875,20.49,6.116499544,0,1.992276755,1.87383297,3.663932314,0,0,"Cercopithecoidea"
"215","sp","Cercopithecus_mona","Cercopithecus","Mona Monkey"," ","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,26,NA,NA,NA,NA,1,5,NA,"wp","MFF","MFF",0.8,"groups"," ","none","AR",4.713,3.13,NA,0.219868142,0.44384682,NA,41.7,22,13.6,11.7,9.9,NA,NA,NA,NA,NA,0.2,0,"Cercopithecoidea"
"216","pop","Cercopithecus_mona","Cercopithecus","Mona Monkey","Grenada Island","Forest_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,26,NA,NA,NA,NA,NA,5,1,"wp","MFF","MFF",0.8,"groups"," ","yes","AR",4.713,3.13,NA,0.219868142,0.44384682,NA,41.7,22,13.6,11.7,9.9,NA,NA,NA,NA,NA,0.2,0,"Cercopithecoidea"
"217","sp","Cercopithecus_neglectus","Cercopithecus","De Brazza's' Monkey"," ","Wetland_Forest",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,5,NA,4,1,1,NA,NA,NA,NA,NA,NA,2,11,NA,"both","MF","MF",0.454545455,"groups"," ","none","BOTH",6.2665,3.6662,NA,1.037325648,0.357822861,NA,50.83333333,1.2,20.55,4.25,7.6,21.27377102,NA,16.33416665,1.767766953,3.676955262,0.545454545,5,"Cercopithecoidea"
"218","pop","Cercopithecus_neglectus","Cercopithecus","De Brazza's' Monkey","Kisere Forest Reserve, Kenya","Wetland_Forest",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MFF","MFF",1,"groups"," ","yes","BOTH",6.2665,3.6662,NA,1.037325648,0.357822861,NA,50.83333333,1.2,20.55,4.25,7.6,21.27377102,NA,16.33416665,1.767766953,3.676955262,0,0,"Cercopithecoidea"
"219","pop","Cercopithecus_neglectus","Cercopithecus","De Brazza's' Monkey","Makokou, Gabon","Wetland_Forest",0,1,"closed",2,"Diurnal",1,NA,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,7,1,"wp","MF","MF",0.714285714,"groups","ff","yes","BOTH",6.2665,3.6662,NA,1.037325648,0.357822861,NA,50.83333333,1.2,20.55,4.25,7.6,21.27377102,NA,16.33416665,1.767766953,3.676955262,0.285714286,2,"Cercopithecoidea"
"220","sp","Cercopithecus_nictitans","Cercopithecus","Greater spot-nosed Monkey"," ","Forest_Savanna_Rocky",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,2,5,NA,"none","MFF","MFF",1,"groups"," ","none","AR",6.9575,4.088,NA,0.342946789,0.320462166,NA,49.83333333,34.73333333,24.1,6.55,14.66666667,17.974519,26.61603527,18.40733549,3.464823228,8.082903769,0,0,"Cercopithecoidea"
"221","pop","Cercopithecus_nictitans","Cercopithecus","Greater spot-nosed Monkey","Gashaka-Gumti National Park, Nigeria","Forest_Savanna",1,1,"both",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.9575,4.088,NA,0.342946789,0.320462166,NA,49.83333333,34.73333333,24.1,6.55,14.66666667,17.974519,26.61603527,18.40733549,3.464823228,8.082903769,0,0,"Cercopithecoidea"
"222","pop","Cercopithecus_nictitans","Cercopithecus","Greater spot-nosed Monkey","M'passa, Gabon","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups"," ","none","AR",6.9575,4.088,NA,0.342946789,0.320462166,NA,49.83333333,34.73333333,24.1,6.55,14.66666667,17.974519,26.61603527,18.40733549,3.464823228,8.082903769,0,0,"Cercopithecoidea"
"223","sp","Cercopithecus_petaurista","Cercopithecus","Lesser spot-nosed Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,3,4,NA,"wp","MFF","MFF",0.75,"groups"," ","none","AR",3.503333333,2.510333333,NA,0.926300887,0.339882823,NA,55.6,NA,22.75,6,12,30.54701295,NA,24.39518395,NA,NA,0.25,1,"Cercopithecoidea"
"224","pop","Cercopithecus_petaurista","Cercopithecus","Lesser spot-nosed Monkey","Taï National Park, Ivory Coast","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,4,3,"wp","MFF","MFF",0.75,"groups"," ","yes","AR",3.503333333,2.510333333,NA,0.926300887,0.339882823,NA,55.6,NA,22.75,6,12,30.54701295,NA,24.39518395,NA,NA,0.25,1,"Cercopithecoidea"
"225","sp","Cercopithecus_diana","Cercopithecus","Roloway Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,"wp","FFMM","FFMM",1,"groups","one","yes","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"226","pop","Cercopithecus_diana","Cercopithecus","Roloway Monkey","Bia National Park, Ghana","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"wp","FFMM","FFMM",1,"groups","one","yes","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"230","sp","Cheirogaleus_major","Cheirogaleus","Greater Dwarf Lemur"," ","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,"none","MF","MF",1,"groups","one","none","AR",0.5746,0.4433,0.413,NA,NA,0.080610173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"231","pop","Cheirogaleus_major","Cheirogaleus","Greater Dwarf Lemur","Littoral Rain Forest, Southern Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,"none","MF","MF",1,"groups","one","none","AR",0.5746,0.4433,0.413,NA,NA,0.080610173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Lemuroidea"
"232","sp","Cheirogaleus_medius","Cheirogaleus","Fat Tailed Dwarf Lemur"," ","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,10,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,14,NA,"wp","MF","MF",0.714285714,"solitary","one","none","AR",0.192766667,0.195666667,NA,0.081850249,0.07671358,NA,77.5,6,NA,10,19.5,3.535533906,NA,NA,NA,0.707106781,0.285714286,4,"Lemuroidea"
"233","pop","Cheirogaleus_medius","Cheirogaleus","Fat Tailed Dwarf Lemur","Kirindy Forest, Western Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,9,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,13,1,"wp","MF","MF",0.692307692,"solitary","one","none","AR",0.192766667,0.195666667,NA,0.081850249,0.07671358,NA,77.5,6,NA,10,19.5,3.535533906,NA,NA,NA,0.707106781,0.307692308,4,"Lemuroidea"
"234","pop","Cheirogaleus_medius","Cheirogaleus","Fat Tailed Dwarf Lemur","Forestry Station of Ampijoroa, North-Western Madagascar","Forest",0,1,"closed",1,"Nocturnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"solitary","one","none","AR",0.192766667,0.195666667,NA,0.081850249,0.07671358,NA,77.5,6,NA,10,19.5,3.535533906,NA,NA,NA,0.707106781,0,0,"Lemuroidea"
"238","sp","Callicebus_lugens","Cheracebus","White-chested Titi Monkey"," ","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,"none","MF","FMM",0.333333333,"groups"," ","none","AR",1.32,1.155,NA,0.240416306,0.148492424,NA,59.4,26.9,6.4,3.9,3.4,NA,NA,NA,NA,NA,0.666666667,2,"Ceboidea"
"239","pop","Callicebus_lugens","Cheracebus","White-chested Titi Monkey","Estacion Biologica Caparu, Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,1,"none","MF","FMM",0.333333333,"groups","one","none","AR",1.32,1.155,NA,0.240416306,0.148492424,NA,59.4,26.9,6.4,3.9,3.4,NA,NA,NA,NA,NA,0.666666667,2,"Ceboidea"
"243","sp","Callicebus_torquatus","Cheracebus","White-collared Titi Monkey"," ","Forest",0,1,"closed",NA,"Diurnal",NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,"none","MF","MF",1,"groups","one","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"244","pop","Callicebus_torquatus","Cheracebus","White-collared Titi Monkey","Estacion Biologica Callicebus, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"245","pop","Callicebus_torquatus","Cheracebus","White-collared Titi Monkey","Estacion Biologica Caparu, Colombia","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"246","pop","Callicebus_torquatus","Cheracebus","White-collared Titi Monkey","Southwest of  Iquitos, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"247","pop","Callicebus_torquatus","Cheracebus","White-collared Titi Monkey","Western Amzon Basin, Peru","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","AR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Ceboidea"
"250","sp","Chiropotes_satanas","Chiropotes","Black Saki"," ","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,3,3,NA,"none","FFMM","FFMM",0.666666667,"groups","one","none","AR",2.88,2.625,NA,0.523259018,0.176776695,NA,25.53333333,44.36666667,2.9,26.66666667,4.6,16.1066239,8.421599215,NA,20.36426609,NA,0.333333333,0,"Ceboidea"
"251","pop","Chiropotes_satanas","Chiropotes","Black Saki","Guri Lake, Venezuela","Forest_Wetland",0,1,"closed",2,"Diurnal",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MFF","MFF",1,"groups","one","none","AR",2.88,2.625,NA,0.523259018,0.176776695,NA,25.53333333,44.36666667,2.9,26.66666667,4.6,16.1066239,8.421599215,NA,20.36426609,NA,0,0,"Ceboidea"
"252","pop","Chiropotes_satanas","Chiropotes","Black Saki","Tucurui hydroelectric reservoir, Brazil","Forest",0,1,"closed",1,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,"none","FFMM","FFMM",1,"groups","one","none","AR",2.88,2.625,NA,0.523259018,0.176776695,NA,25.53333333,44.36666667,2.9,26.66666667,4.6,16.1066239,8.421599215,NA,20.36426609,NA,0,0,"Ceboidea"
"254","sp","Chlorocebus_aethiops","Chlorocebus","Grivet Monkey"," ","Shrbuland_Granssland_Savanna_Forest_Wetland_Artificial",1,1,"both",NA,"Diurnal",NA,NA,NA,NA,NA,1,NA,1,1,21,NA,NA,NA,NA,NA,NA,8,24,NA,"both","FFMM","FFMM",0.875,"groups","ff","none","T",4.75,3.2,NA,NA,NA,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0.125,3,"Cercopithecoidea"
"255","pop","Chlorocebus_aethiops","Chlorocebus","Grivet Monkey","Loskop Dam Nature Reserve, South Africa","Shrubland_Grassland_Savanna_Forest",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,11,3,"none","FFMM","FFMM",1,"groups","one","none","T",4.75,3.2,NA,NA,NA,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"256","pop","Chlorocebus_aethiops","Chlorocebus","Grivet Monkey","Ntendeka Wilderness Area, Ngome Forest, South Africa","Shrubland_Grassland_Forest",1,1,"both",3,"Diurnal",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,"none","MF","MF",1,"groups","one","none","T",4.75,3.2,NA,NA,NA,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
"257","pop","Chlorocebus_aethiops","Chlorocebus","Grivet Monkey","Lake Nabugabo, Uganda","Wetland_Grassland_Forest_Artificial",1,1,"both",4,"Diurnal",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,"none","FFMM","FFMM",1,"groups","one","none","T",4.75,3.2,NA,NA,NA,NA,50.6,NA,18.7,17.6,7.4,NA,NA,NA,NA,NA,0,0,"Cercopithecoidea"
