rowid,dataset,rep,primateMRCA,model,DG,DP,G,P,S,tree
207,2,4,56,fitSYM,0,0,0.4490654267937209,0.4997409172207138,0.05119365598556532,Kuderna et al
208,2,4,68,fitSYM,0,0,0.052188445461034474,0.32565624699037626,0.6221553075485893,Olivier et al
209,2,5,56,fitSYM,0,0,0.38586063466038056,0.5427097695215809,0.07142959581803852,Kuderna et al
210,2,5,68,fitSYM,0,0,0.022663816592104175,0.18355468527494176,0.7937814981329542,Olivier et al
211,2,6,56,fitSYM,0,0,0.5200764996416879,0.4689407297428629,0.010982770615449276,Kuderna et al
212,2,6,68,fitSYM,0,0,0.03419461882163523,0.21256242386515656,0.7532429573132082,Olivier et al
213,2,7,56,fitSYM,0,0,0.42326571117019596,0.5280841196559339,0.04865016917387007,Kuderna et al
214,2,7,68,fitSYM,0,0,0.022998642074158943,0.1323144116948853,0.8446869462309557,Olivier et al
215,2,8,56,fitSYM,0,0,0.42326571114526707,0.528084119679876,0.04865016917485697,Kuderna et al
216,2,8,68,fitSYM,0,0,0.07791011031445857,0.30965575118759675,0.6124341384979447,Olivier et al
217,2,9,56,fitSYM,0,0,0.5863135608679266,0.40243346700904437,0.011252972123029132,Kuderna et al
218,2,9,68,fitSYM,0,0,0.06518897296660218,0.33079974058093786,0.60401128645246,Olivier et al
219,2,10,56,fitSYM,0,0,0.4029419931299174,0.5238064407925987,0.07325156607748391,Kuderna et al
220,2,10,68,fitSYM,0,0,0.027212863311850462,0.24119772495376254,0.731589411734387,Olivier et al
221,2,11,56,fitSYM,0,0,0.4075585781346266,0.5357867635333252,0.05665465833204824,Kuderna et al
222,2,11,68,fitSYM,0,0,0.06955650041439827,0.4450553729173205,0.4853881266682812,Olivier et al
223,2,12,56,fitSYM,0,0,0.5497895078906032,0.43886090525441246,0.011349586854984335,Kuderna et al
224,2,12,68,fitSYM,0,0,0.026834478816372496,0.12084735106737675,0.8523181701162508,Olivier et al
225,2,13,56,fitSYM,0,0,0.5863135609085902,0.40243346696538185,0.011252972126028047,Kuderna et al
226,2,13,68,fitSYM,0,0,0.062445561718923216,0.3329725002111746,0.6045819380699022,Olivier et al
227,2,14,56,fitSYM,0,0,0.5455523301267725,0.4415868299926971,0.012860839880530389,Kuderna et al
228,2,14,68,fitSYM,0,0,0.029221946991551565,0.14249224526419363,0.8282858077442548,Olivier et al
229,2,15,56,fitSYM,0,0,0.362238723959232,0.570573628915271,0.06718764712549712,Kuderna et al
230,2,15,68,fitSYM,0,0,0.08681483873796667,0.39955016599617055,0.5136349952658628,Olivier et al
231,2,16,56,fitSYM,0,0,0.42326571117724116,0.5280841196476505,0.04865016917510842,Kuderna et al
232,2,16,68,fitSYM,0,0,0.011509317304898382,0.1980079722763734,0.7904827104187282,Olivier et al
233,2,17,56,fitSYM,0,0,0.4300863364907828,0.5098963613807889,0.06001730212842825,Kuderna et al
234,2,17,68,fitSYM,0,0,0.07640569180506977,0.3085264020081223,0.615067906186808,Olivier et al
235,2,18,56,fitSYM,0,0,0.5497895078939394,0.4388609052508653,0.011349586855195382,Kuderna et al
236,2,18,68,fitSYM,0,0,0.11314847107184482,0.35336133870410885,0.5334901902240463,Olivier et al
237,2,19,56,fitSYM,0,0,0.500922412228971,0.4868473069512078,0.012230280819821202,Kuderna et al
238,2,19,68,fitSYM,0,0,0.05032020906513677,0.3187054505668799,0.6309743403679834,Olivier et al
239,2,20,56,fitSYM,0,0,0.39726504882612196,0.5440463024119118,0.05868864876196636,Kuderna et al
240,2,20,68,fitSYM,0,0,0.04757175683898194,0.3493970832707647,0.6030311598902535,Olivier et al
241,2,21,56,fitSYM,0,0,0.3972650488492468,0.5440463023785171,0.05868864877223603,Kuderna et al
242,2,21,68,fitSYM,0,0,0.0483597799543341,0.34793657790045224,0.6037036421452137,Olivier et al
243,2,22,56,fitSYM,0,0,0.3944427873926988,0.5436103011947364,0.061946911412564754,Kuderna et al
244,2,22,68,fitSYM,0,0,0.06547554932793026,0.3308635443478969,0.6036609063241729,Olivier et al
245,2,23,56,fitSYM,0,0,0.3972650488670924,0.5440463023736142,0.058688648759293506,Kuderna et al
246,2,23,68,fitSYM,0,0,0.07777214932370409,0.44097208631809187,0.481255764358204,Olivier et al
247,2,24,56,fitSYM,0,0,0.3972650488365867,0.5440463023858958,0.05868864877751761,Kuderna et al
248,2,24,68,fitSYM,0,0,0.012001104402283747,0.19605259122920862,0.7919463043685077,Olivier et al
249,2,25,56,fitSYM,0,0,0.5863135602395985,0.40243346761786514,0.011252972142536437,Kuderna et al
250,2,25,68,fitSYM,0,0,0.024479127518297766,0.18769528870807892,0.7878255837736233,Olivier et al
251,2,26,56,fitSYM,0,0,0.48482613590267054,0.5031396681140109,0.012034195983318674,Kuderna et al
252,2,26,68,fitSYM,0,0,0.04899134855455797,0.5225840129811807,0.4284246384642614,Olivier et al
253,2,27,56,fitSYM,0,0,0.5153852497526135,0.471861344128878,0.012753406118508647,Kuderna et al
254,2,27,68,fitSYM,0,0,0.06330154011077083,0.3242031065989069,0.6124953532903222,Olivier et al
255,2,28,56,fitSYM,0,0,0.5315810365627811,0.4561552018842416,0.012263761552977226,Kuderna et al
256,2,28,68,fitSYM,0,0,0.0788025071295052,0.4390357950379969,0.48216169783249785,Olivier et al
257,2,29,56,fitSYM,0,0,0.5578953642790276,0.42945378553989066,0.012650850181081752,Kuderna et al
258,2,29,68,fitSYM,0,0,0.048787385948565895,0.3272823189946596,0.6239302950567746,Olivier et al
259,2,30,56,fitSYM,0,0,0.4232657111232186,0.5280841197028215,0.04865016917395983,Kuderna et al
260,2,30,68,fitSYM,0,0,0.06183553845857823,0.329800068174359,0.6083643933670628,Olivier et al
261,2,31,56,fitSYM,0,0,0.5009224122000773,0.48684730698321677,0.01223028081670595,Kuderna et al
262,2,31,68,fitSYM,0,0,0.022314684978756497,0.16047844370940348,0.8172068713118401,Olivier et al
263,2,32,56,fitSYM,0,0,0.5388722493809598,0.4496092022694927,0.01151854834954756,Kuderna et al
264,2,32,68,fitSYM,0,0,0.025726498868813244,0.16678401513809443,0.8074894859930923,Olivier et al
265,2,33,56,fitSYM,0,0,0.430086336493295,0.5098963613733344,0.060017302133370594,Kuderna et al
266,2,33,68,fitSYM,0,0,0.041668089988061145,0.16399523442866762,0.7943366755832713,Olivier et al
267,2,34,56,fitSYM,0,0,0.3972650489153812,0.5440463023098123,0.058688648774806375,Kuderna et al
268,2,34,68,fitSYM,0,0,0.023267969850964985,0.22065439032930054,0.7560776398197345,Olivier et al
269,2,35,56,fitSYM,0,0,0.4490654268948643,0.49974091710509294,0.051193656000042845,Kuderna et al
270,2,35,68,fitSYM,0,0,0.08259917958909574,0.4105040506265183,0.5068967697843859,Olivier et al
271,2,36,56,fitSYM,0,0,0.5497895078840639,0.43886090525890625,0.011349586857029914,Kuderna et al
272,2,36,68,fitSYM,0,0,0.09131182261139274,0.3621758758586296,0.5465123015299778,Olivier et al
273,2,37,56,fitSYM,0,0,0.5192963145628134,0.46651524299244984,0.014188442444736804,Kuderna et al
274,2,37,68,fitSYM,0,0,0.05086792326360877,0.3558342578173343,0.5932978189190569,Olivier et al
275,2,38,56,fitSYM,0,0,0.575232438516142,0.4147052825395184,0.010062278944339644,Kuderna et al
276,2,38,68,fitSYM,0,0,0.025759084789105914,0.1986038901023731,0.7756370251085211,Olivier et al
277,2,39,56,fitSYM,0,0,0.484826135897507,0.5031396681193215,0.012034195983171367,Kuderna et al
278,2,39,68,fitSYM,0,0,0.05041672964609288,0.35404115804098196,0.5955421123129251,Olivier et al
279,2,40,56,fitSYM,0,0,0.3622387240265404,0.5705736288390927,0.06718764713436699,Kuderna et al
280,2,40,68,fitSYM,0,0,0.05307413496976384,0.3365585383743813,0.6103673266558549,Olivier et al
281,2,41,56,fitSYM,0,0,0.423265711199128,0.5280841196213314,0.048650169179540646,Kuderna et al
282,2,41,68,fitSYM,0,0,0.05554413236049222,0.33408808821947955,0.6103677794200282,Olivier et al
283,2,42,56,fitSYM,0,0,0.4300863364833869,0.5098963613862667,0.06001730213034645,Kuderna et al
284,2,42,68,fitSYM,0,0,0.017510620877499532,0.16435467484562072,0.8181347042768798,Olivier et al
285,2,43,56,fitSYM,0,0,0.41812360333415055,0.5193197675107472,0.06255662915510223,Kuderna et al
286,2,43,68,fitSYM,0,0,0.031162111005735172,0.20800484509956518,0.7608330438946996,Olivier et al
287,2,44,56,fitSYM,0,0,0.4075584839178126,0.5357868726348188,0.056654643447368515,Kuderna et al
288,2,44,68,fitSYM,0,0,0.02356442357103989,0.13227490004119202,0.844160676387768,Olivier et al
289,2,45,56,fitSYM,0,0,0.44906542684070777,0.4997409171658236,0.051193655993468715,Kuderna et al
290,2,45,68,fitSYM,0,0,0.049849040848640766,0.359399028030634,0.5907519311207252,Olivier et al
291,2,46,56,fitSYM,0,0,0.5752324382954527,0.4147052827772769,0.010062278927270366,Kuderna et al
292,2,46,68,fitSYM,0,0,0.059093802532187434,0.4851799349838611,0.4557262624839516,Olivier et al
293,2,47,56,fitSYM,0,0,0.39726504886780795,0.5440463023479706,0.0586886487842216,Kuderna et al
294,2,47,68,fitSYM,0,0,0.018129217221608096,0.18693060594122915,0.7949401768371628,Olivier et al
295,2,48,56,fitSYM,0,0,0.4075584971726269,0.5357868572497368,0.05665464557763636,Kuderna et al
296,2,48,68,fitSYM,0,0,0.021408384445816074,0.1606765154743924,0.8179151000797915,Olivier et al
297,2,49,56,fitSYM,0,0,0.449065426849546,0.499740917159451,0.051193655991003104,Kuderna et al
298,2,49,68,fitSYM,0,0,0.08932998091160844,0.41044145725508907,0.5002285618333024,Olivier et al
299,2,50,56,fitSYM,0,0,0.41812360331533016,0.5193197675283916,0.06255662915627823,Kuderna et al
300,2,50,68,fitSYM,0,0,0.021558857799029916,0.16453420594250895,0.8139069362584612,Olivier et al
301,2,51,56,fitSYM,0,0,0.418123603337803,0.5193197675060562,0.06255662915614077,Kuderna et al
302,2,51,68,fitSYM,0,0,0.06683690511638922,0.3157029768932928,0.617460117990318,Olivier et al
303,2,52,56,fitSYM,0,0,0.4490654268405881,0.49974091716905766,0.0511936559903542,Kuderna et al
