Order,Superfamily,Genus,Species,character_data
Primates,Lorisoidea,Otolemur,Otolemur_garnettii,S
Primates,Hominoidea,Pan,Pan_paniscus,G
Primates,Hominoidea,Pan,Pan_troglodytes,G
Primates,Cercopithecoidea,Papio,Papio_anubis,G
Primates,Cercopithecoidea,Papio,Papio_cynocephalus,G
Primates,Cercopithecoidea,Papio,Papio_hamadryas,G
Primates,Cercopithecoidea,Papio,Papio_papio,G
Primates,Cercopithecoidea,Papio,Papio_ursinus,G
Primates,Lorisoidea,Perodicticus,Perodicticus_potto,S
Primates,Lemuroidea,Phaner,Phaner_furcifer,P
Primates,Cercopithecoidea,Procolobus,Procolobus_badius,G
Primates,Cercopithecoidea,Procolobus,Procolobus_kirkii,G
Primates,Cercopithecoidea,Procolobus,Procolobus_rufomitratus,G
Primates,Cercopithecoidea,Procolobus,Procolobus_rufomitratus,G
Primates,Ceboidea,Pithecia,Pithecia_aequatorialis,P
Primates,Ceboidea,Pithecia,Pithecia_chrysocephala,G
Primates,Ceboidea,Pithecia,Pithecia_irrorata,G
Primates,Ceboidea,Pithecia,Pithecia_pithecia,P
Primates,Ceboidea,Callicebus,Callicebus_discolor,P
Primates,Ceboidea,Callicebus,Callicebus_oenanthe,P
Primates,Hominoidea,Pongo,Pongo_pygmaeus,S
Primates,Cercopithecoidea,Presbytis,Presbytis_comata,P
Primates,Cercopithecoidea,Presbytis,Presbytis_frontata,P
Primates,Cercopithecoidea,Presbytis,Presbytis_hosei,P
Primates,Cercopithecoidea,Presbytis,Presbytis_melalophos,G
Primates,Cercopithecoidea,Presbytis,Presbytis_natunae,P
Primates,Cercopithecoidea,Presbytis,Presbytis_potenziani,P
Primates,Cercopithecoidea,Presbytis,Presbytis_rubicunda,G
Primates,Cercopithecoidea,Presbytis,Presbytis_thomasi,G
Primates,Cercopithecoidea,Procolobus,Procolobus_verus,G
Primates,Lemuroidea,Prolemur,Prolemur_simus,G
Primates,Lemuroidea,Propithecus,Propithecus_edwardsi,G
Primates,Lemuroidea,Propithecus,Propithecus_perrieri,G
Primates,Lemuroidea,Propithecus,Propithecus_verreauxi,G
Primates,Cercopithecoidea,Pygathrix,Pygathrix_nemaeus,G
Primates,Cercopithecoidea,Pygathrix,Pygathrix_nigripes,G
Primates,Cercopithecoidea,Rhinopithecus,Rhinopithecus_avunculus,G
Primates,Cercopithecoidea,Rhinopithecus,Rhinopithecus_bieti,G
Primates,Cercopithecoidea,Rhinopithecus,Rhinopithecus_brelichi,G
Primates,Cercopithecoidea,Rhinopithecus,Rhinopithecus_roxellana,G
Primates,Cercopithecoidea,Rhinopithecus,Rhinopithecus_strykeri,G
Primates,Cercopithecoidea,Rungwecebus,Rungwecebus_kipunji,G
Primates,Ceboidea,Leontocebus,Leontocebus_nigricollis,G
Primates,Ceboidea,Saguinus,Saguinus_imperator,G
Primates,Ceboidea,Saguinus,Saguinus_labiatus,G
Primates,Ceboidea,Saguinus,Saguinus_mystax,G
Primates,Ceboidea,Leontocebus,Leontocebus_nigricollis,P
Primates,Ceboidea,Saguinus,Saguinus_oedipus,G
Primates,Ceboidea,Saimiri,Saimiri_sciureus,G
Primates,Ceboidea,Sapajus,Sapajus_apella,G
Primates,Ceboidea,Sapajus,Sapajus_cay,G
Primates,Ceboidea,Sapajus,Sapajus_flavius,G
Primates,Ceboidea,Sapajus,Sapajus_libidinosus,G
Primates,Ceboidea,Sapajus,Sapajus_nigritus,G
Primates,Cercopithecoidea,Semnopithecus,Semnopithecus_ajax,G
Primates,Cercopithecoidea,Semnopithecus,Semnopithecus_entellus,G
Primates,Cercopithecoidea,Semnopithecus,Semnopithecus_hypoleucos,G
Primates,Cercopithecoidea,Semnopithecus,Semnopithecus_schistaceus,G
Primates,Cercopithecoidea,Simias,Simias_concolor,G
Primates,Hominoidea,Symphalangus,Symphalangus_syndactylus,P
Primates,Tarsioidea,Tarsius,Tarsius_bancanus,S
Primates,Tarsioidea,Tarsius,Tarsius_lariang,P
Primates,Tarsioidea,Tarsius,Tarsius_pumilus,G
Primates,Tarsioidea,Tarsius,Tarsius_sangirensis,P
Primates,Tarsioidea,Tarsius,Tarsius_syrichta,S
Primates,Tarsioidea,Tarsius,Tarsius_tarsier,P
Primates,Cercopithecoidea,Theropithecus,Theropithecus_gelada,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_auratus,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_cristatus,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_francoisi,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_geei,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_germaini,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_johnii,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_obscurus,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_phayrei,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_pileatus,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_poliocephalus,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_shortridgei,G
Primates,Cercopithecoidea,Trachypithecus,Trachypithecus_vetulus,G
Primates,Lemuroidea,Varecia,Varecia_variegata,G
